track_id,name,duration_ms,artist_id,artist_name,num_artists,album_id,album_name
1hjfa1y9oswCrXTsMf1wjS,Akong Bililhon,224034,1vZKdcd7YuW307ajNbePUS,The Marshland,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
2pXCrjCVUJjhE5iRj4cDkV,Kasadya (feat. XT on Sax),228744,"['6VARoQYQ6vmdZIhFpvCaz4', '1xnFYfgFtDrGhNy4IIi61W']","['Jay-ar Vaño', 'XT on Sax']",2,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
2Fddbtw714bTOyZrb3r2zC,Pahuway,273244,199ECS30J1oOc3Ftz93dsk,Ferdinand Aragon,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
4KA5HBkoafhrK6aD0U0BCb,Bestiny,261680,"['6DTkgCyJZzWcgSMSARKMVM', '3r0NbTTxtCBUyxcIR4prXr']","['Kevin Yadao', 'Jr Crown']",2,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
3vT8K4JGvsR11B7dp4adcZ,Huling Sayaw,274812,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
2oCU87rTvb4YV6f6i3NzK7,Mapa,250916,"['5ZBPrCqoAHKDnKEh271kYK', '30WmJkQ2BeBNgb27jhf11u']","['Chloe Redondo', 'Aikee']",2,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
0e8gGbGwqEk4BcWOwOwqeR,Agsardeng,260470,23pll5spPg83AUrbSegAtX,Miss Ramonne,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
4gLklAZCbIe6GzovKVZ6b4,Balikan,245327,5w22j2yXzg6Q3y4KnBXU7H,Benj Manalo,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
20uLrmSJUennZwRi86TtoA,Paos,277807,0DouUeF604QbSdKYIL3xrq,Keiko Necesario,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
2x4xaeQ2qhZYIEYMa7I2I6,Ayaw Na Lang,215719,5Uc27X7zFLxVH0gO9kg54h,Lourdes Maglinte,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
1wmbubYuhEQzibJmxPqkML,Hinungdan,312826,4SF0FW2zi21DoLwy91R2Yz,James Gulles,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
2WnVuNyHipbKV8I0swTy75,Suyo,200630,5jAOzTxCoR1qHXKVHsfDSr,reon,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
5zYJ7P1MFRyTSGl3lJ9De4,Bitaw,250523,5nQaLW2m4fzJwUVluO03hQ,Zsaris,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
2B0Wd4DarPKURiSxaBwKNV,Lunod,310802,1iniYxgC28JnafDZZAeEI9,Shaira Opsimar,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
0VYZ7PIOwPnAtfh7baNM8G,Para kay Catriona,264462,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1,5dE7Ya7ysU0jIPdBh6OShZ,PhilPop 2020: Music Breaking Borders
2Dc42FhY3f8oPCCWuRnvWL,Nobela,291506,70ljCILl0aVXitf3K39YvT,Join The Club,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
1ayD6qLOfcpdEJPrLxkx7v,Languyin,264253,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
41bwYNIeMv04TKmkqdVIDv,Buwan,343446,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
1yhxWgwlqkRd8C3faaMokE,Tuloy Pa Rin,236453,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
52VhpgTV8j4FermHPMyFjq,Kung Pwede Lang,296786,5xJfSowQoxaxY4DCVLTfr5,Sabrina,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
24QF8u4A2rNalSHUnWFlsc,12:51,246280,09DdQEMQaaq0f99vqqub3V,krissy & ericka,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
4w6aaBg73MdTQNO8w6IvB2,Just Wanna be with You,229506,31oMMIBDMM2Z1RQO7u8irE,Side A,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
5LgGYrWPtGerHgQjs4Q6Hn,Right Now,241462,41pLCD280F2n813cKHt1yt,Isabela Vinzon,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
3BhXMhEkUCH8jYQYYu2rqx,Line To Heaven,205243,4Z0zs3x0hfteT8K4SH7h00,AM/FM,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
1WoUahnqaRu871SiuWYPlC,Bwelo Lang,248374,"['0jSZF2C5Q5YNdJjkX3uyNP', '6jcNYnDRcaKoHyvzPBQVGb']","['Edray Teodoro', 'JK Labajo']",2,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
28CJUYlZtjrhwJpAgNLpAS,Mapansin,218493,33kC1w8s5cXEi1zyJZuqSI,Paolo Santos,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
3RPeKov21yZvYJWuQSTIjf,Isipin,258000,1LKL2kKeoS9zKVOfYHEeF3,Miguel Escueta,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
6znLmlLKe3DT49BBSABIaf,We Can't Be,241373,4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
5XqohlipAGqHrpBl6zh2gF,Ikaw Pa Rin - From Nakalimutan Ko Nang Kalimutan Ka,225000,7fftBnwbUIMwSHU8lRtuWv,Raffy Calicdan,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
4BTkkRkWhoe7pgFJFozajQ,Arbitrary,338861,1hMAGfvamVXuSWBFQRFMeq,Over October,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
3TGPTqlg97dH0qWupQv04T,First Of Summer - Live At The Campfire Sessions/2018,238751,18B9mAtwCLjkXGMlBtH1LZ,Urbandub,1,7i8bEl9KLLCVrreUG6YS6k,Pinoy Pag-ibig
08K1axf9IxdzEiilmkS7eF,Prelude,72572,"['0AI9aMBxeYTWnqnf0n63of', '3m6LsCP4SaZGScWSqwADvI']","[""Children's Choir"", 'Bukas Palad Music Ministry']",2,0lWlViaBgXo21nodzXH9Fr,Chosen (Songs from an Original Musical)
1oStu2GdZuAQ8WeInls3KG,Chosen - Saints Sinners Misfits,313541,"['3pTaNQJ7TAU4yL7KEZp5sF', '3m6LsCP4SaZGScWSqwADvI']","['Nyoy Volante', 'Bukas Palad Music Ministry']",2,0lWlViaBgXo21nodzXH9Fr,Chosen (Songs from an Original Musical)
7k3YR0fJEVzPI9uSEyfQYA,Hey You Fool - Shadow Song,206735,1ZXTwHjcF5RmTC5GrjCDhR,Thor Dulay,1,0lWlViaBgXo21nodzXH9Fr,Chosen (Songs from an Original Musical)
56WxiaIpRGC2kkHWi0nPGu,Shooting Stars,276703,"['7ygtjsCTrCQZAYYPOne9uE', '7DW4ijH3n36QN0RlC0n649']","['Erik Santos', 'Angeline Quinto']",2,0lWlViaBgXo21nodzXH9Fr,Chosen (Songs from an Original Musical)
3kSPYHBF9S5cKRhPHzBhAp,Throwback Thursday,334772,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,1,0lWlViaBgXo21nodzXH9Fr,Chosen (Songs from an Original Musical)
4QbIi7HIvoCqHaEnNC9ACV,Catch Your Eye - Sarah's Theme,301133,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,1,0lWlViaBgXo21nodzXH9Fr,Chosen (Songs from an Original Musical)
