date,position,track_id,track_name,artist,streams,Filipino
5/22/2020,1,24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Lady Gaga,228558,not
11/26/2017,167,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,20310,not
9/20/2019,77,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,45538,not
8/14/2020,127,6ZfXA2xakAvphXOSOJ3u1W,When I Look At You,Miley Cyrus,31552,not
2/22/2020,167,6XXYdF6pJR1K3wKvuxmu7n,Feel Me,Selena Gomez,31975,not
8/16/2019,11,0bzbvANY6oETSJLc0wlVGY,Lover,Taylor Swift,143669,not
2/22/2017,152,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,20239,not
1/1/2017,126,6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,14929,not
11/24/2019,163,6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,26583,not
1/12/2018,198,630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,Zac Efron,20867,not
8/26/2020,173,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn,27498,not
12/31/2020,187,6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,347aidan,34455,not
8/16/2018,11,2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,127046,not
11/15/2019,49,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,72855,not
7/1/2020,102,1NzRZ7AosK7ZDumMsZYofo,Just Friends,Audrey Mika,33055,not
4/19/2018,198,5YLHLxoZsodDWjqSgjhBf3,Myself,Bazzi,21494,not
9/18/2017,127,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,27167,not
7/3/2018,59,69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,46072,not
4/10/2020,166,5VUQsLff8A3ruAyCdTxqzg,Who Am I,Casting Crowns,19929,not
6/2/2018,200,00bAw28lKcHj3B94a1wJle,Say You Won’t Let Go,Chlara,19285,not
1/1/2017,184,6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,11491,not
9/8/2018,197,5ubwXXOsH9bUhZsQ0Cybha,Level Up,Ciara,20125,not
1/4/2017,185,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,15129,not
6/13/2020,177,0dZpw3h6KZhcHec61qwevZ,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,23123,not
8/27/2017,199,1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,16965,not
3/16/2020,186,4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),Doja Cat,23627,not
11/1/2019,47,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,68888,not
2/14/2017,146,5K7AMlpc4796JRWXb26nCV,I'll Be,Edwin McCain,22790,not
1/3/2017,190,6Gn02ZC8juXwQ10Xk7ACXx,The Reason,Hoobastank,14628,not
2/8/2019,162,18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,28248,not
7/8/2018,178,4SjPJxsczdVx2Wafi5mT0J,Rewrite the Stars,Joseph Vincent,21239,not
10/30/2019,119,1Av69kr9JitqPWo7WJLS5q,Can We Kiss Forever?,Kina,37281,not
9/27/2018,132,6sl4KzZ9PRb8xTzjYIrHAP,Someday,Leanne & Naara,27784,not
10/28/2020,98,28xX6K8LnkZve4RiuEB3iK,Sweet Melody,Little Mix,41896,not
