track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_rnb_prob,predicted_rock_prob
0NbnppAuYICbnu6opbe18F,Kwento Ng Pasko,2H4bbbOohoe9zhqEsiRi7j,ABS-CBN Music All Star,6qLQzrlhbTEhw7VuGVzs9E,487578,2016-01-01,49,0.522,0.752,1,0.8083111566018423,1,0.0284,0.0805,0.000722,0.109,0.289,0.3063316634818984,4,pop,0.375,0.0,0.25,0.041666666666666664,0.0,0.375,0.0,0.08333333333333333,0.25
0mUfY2PdHs57EG15zj1dRj,Laro,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,6192rIsjm6EaV6OclNLHoK,320573,2016-09-30,0,0.569,0.823,0,0.8788126919140224,1,0.0271,0.00193,0.00703,0.215,0.623,0.5643237101688787,7,rock,0.375,0.0,0.20833333333333334,0.125,0.0,0.25,0.0,0.041666666666666664,0.375
0vmANNClszGQZ0FISySK61,I Saw Mommy Kissing Santa Claus,2iE18Oxc8YSumAU232n4rW,The Jackson 5,6J7kk80VywP59lPn8E5Cal,179666,1970-01-01,42,0.571,0.585,3,0.5140634595701125,1,0.0548,0.301,1.91e-05,0.688,0.732,0.4900777255590559,7,rock,0.375,0.0,0.08333333333333333,0.0,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.375
4S1GTwPVpkSy7CsJIDKPEz,You Deserve Better,4IWBUUAFIplrNtaOHcJPRM,James Arthur,3M1MYH8SYxLaJfBWIAsAdL,207773,2018-06-01,58,0.516,0.56,6,0.701494370522006,0,0.486,0.0322,0.0,0.15,0.696,0.29933378092237767,3,jazz,0.375,0.0,0.0,0.0,0.375,0.08333333333333333,0.25,0.20833333333333334,0.08333333333333333
6V9fHiv84WlVTg7CSnIVY2,Graveyard,26VFTg2z8YR0cCuwLzESi2,Halsey,66QwiCFDLtRbrZ5Vs9wlL9,181805,2019-09-13,13,0.667,0.583,11,0.7829273285568065,0,0.0747,0.231,4.48e-05,0.181,0.187,0.25480943035686615,4,pop,0.375,0.0,0.16666666666666666,0.0,0.041666666666666664,0.375,0.041666666666666664,0.3333333333333333,0.041666666666666664
4fzyvSu73BhGvi96p2zwjL,Christmas Lights,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,06CvxUVwS8h2aJYcCtApgy,242495,2010-11-26,55,0.312,0.418,7,0.6183828045035823,1,0.0296,0.131,0.000679,0.0836,0.237,0.5049772762485152,7,rock,0.375,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.125,0.375
6T8cJz5lAqGer9GUHGyelE,God's Plan,3TVXtAsR1Inumwj472S9r4,Drake,2YDNDwQvsU0njt7Kq0xNRY,198960,2018-01-20,7,0.755,0.448,7,0.6003275332650971,1,0.107,0.0283,3.28e-05,0.514,0.318,0.1588532252233641,6,rnb,0.375,0.0,0.08333333333333333,0.0,0.16666666666666666,0.125,0.20833333333333334,0.375,0.041666666666666664
7segkq8uZLqiORlsjgaQMA,Kumukutikutitap,0YaTdozvKSQ2UkOTTONmSJ,Rachelle Ann Go,6RVxzEP6tY0ktPKlZtOlFu,146613,2012-09-17,0,0.736,0.55,5,0.631033776867963,0,0.0393,0.53,3.52e-06,0.0957,0.608,0.5321102101947011,7,rock,0.375,0.0,0.25,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.375
65sEZZaxTjLMD8vNgPoMz5,Imahe,28B54RKpJrEmDoGSTjsfY6,Magnus Haven,04KG42EaTfjaPbYHQ6wI3h,321817,2018-11-30,73,0.604,0.446,9,0.6648925281473899,1,0.0341,0.63,0.0,0.0859,0.199,0.5898750193668336,4,pop,0.375,0.0,0.041666666666666664,0.0,0.125,0.375,0.0,0.2916666666666667,0.16666666666666666
4EAV2cKiqKP5UPZmY6dejk,Everyday,4xRYI6VqpkE3UwrDrAZL8L,Logic,4F87p1aiFwHeU4uu65MaPV,204746,2018-03-09,74,0.667,0.741,1,0.8250153531218013,1,0.0378,0.0425,0.0,0.0761,0.422,0.6283633734441976,4,pop,0.375,0.0,0.125,0.3333333333333333,0.0,0.375,0.041666666666666664,0.08333333333333333,0.041666666666666664
