track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
4O4HtthxTvVL1Z1PuDb7GX,Old Town Road (feat. Billy Ray Cyrus) - Remix,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,3J0nEHIZoQW1tA2Pabgjoz,157066,2019-06-21,11,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,2,0.519342839717865,Reggae,51.9342839717865%
0815caqt2Lytro5EIzMufT,You And Me,5PokPZn11xzZXyXSfnvIM3,Lifehouse,2hOY4rDu51XSBvtwfWgSmz,195493,2005-03-22,76,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,5,0.5191845297813416,Rock,51.918452978134155%
4gGZc6MMYavM5KFS2zwOVL,1 Billion Views,6741jcSlgsv0M3B4ruIPS5,EXO-SC,4t1SPfj4ogtEQUMu3OHI3Q,209253,2020-07-13,69,0.735,0.727,0,-2.837,0,0.0364,0.362,0.0,0.0997,0.612,111.928,4,0.518503725528717,R&B,51.850372552871704%
3pHkh7d0lzM2AldUtz2x37,The Archer,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,211240,2019-08-23,71,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,5,0.5184850096702576,Rock,51.84850096702576%
3frUvGrmGcay91lvFbOgsN,Like It Is,23fqKkggKUBHNkbKtXEls4,Kygo,0lWWqdcdtFgSd1j06F9JZC,183067,2020-03-27,78,0.794,0.728,1,-6.759,1,0.114,0.121,8.82e-06,0.227,0.36,105.024,4,0.5178734660148621,R&B,51.787346601486206%
54l9GJGQ1UCFKe2tzt1Vxt,Only You (with Little Mix),7DMveApC7UnC2NPfPvlHSU,Cheat Codes,4DmPCrBlJGedbs6GW7EQ1m,189401,2018-06-22,65,0.607,0.74,4,-4.793,0,0.172,0.0829,0.0,0.105,0.219,108.05,2,0.5177626609802246,Reggae,51.77626609802246%
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,5Nux7ozBJ5KJ02QYWwrneR,219946,2019-05-10,84,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,4,0.5176766514778137,R&B,51.76766514778137%
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3oIFxDIo2fwuk4lwCmFZCx,219946,2019-07-12,79,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,4,0.5176766514778137,R&B,51.76766514778137%
2mwd0LWLBgtQBEOLG96nbU,Bagay Tayo,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,6r5Q4HTHG4DGcZ7mrfgaRw,397033,2018-12-04,61,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053,4,0.5175676941871643,R&B,51.75676941871643%
3u9tIlAnygQGNJ5VuSvTfi,Bagay Tayo,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,7EyFdHaGHh73lOZz1zuFTe,397033,2018-12-04,0,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053,4,0.5175676941871643,R&B,51.75676941871643%
